"pclass","survived","sex","age","sibsp","parch","fare","embarked"
"Upper","Yes","female",63,1,1,63,"S"
"Upper","No","male",70,1,1,80,"C"
"Upper","No","male",36,0,2,80,"C"
"Upper","Yes","female",70,1,1,80,"C"
"Upper","Yes","female",26,0,0,103,"S"
"Upper","No","male",71,0,1,182,"C"
"Upper","Yes","male",26,0,1,182,"C"
"Upper","Yes","female",43,0,0,35,"C"
"Upper","No","male",85,0,0,103,"S"
"Upper","Yes","female",50,0,0,36,"C"
"Middle","No","male",41,1,0,89,"C"
"Middle","Yes","female",37,1,0,89,"C"
"Middle","No","male",41,0,0,26,"S"
"Middle","No","male",20,0,0,12,"S"
"Middle","No","male",33,0,0,5,"S"
"Middle","No","male",47,1,0,98,"S"
"Middle","Yes","female",50,1,0,98,"S"
"Middle","No","male",78,0,0,26,"S"
"Middle","No","male",20,0,0,12,"S"
"Middle","No","male",29,0,0,5,"S"
"Middle","Yes","female",50,0,0,26,"S"
"Middle","No","male",37,0,0,5,"S"
"Middle","No","male",71,0,0,21,"S"
"Middle","Yes","male",44,1,0,98,"S"
"Middle","Yes","female",22,1,0,98,"S"
"Middle","No","male",37,0,0,98,"S"
"Middle","Yes","male",9,2,1,140,"S"
"Middle","Yes","female",56,2,1,140,"S"
"Middle","Yes","female",13,2,1,140,"S"
"Middle","Yes","female",50,0,3,140,"S"
"Middle","Yes","male",47,0,0,26,"S"
"Middle","Yes","female",22,0,0,26,"S"
"Middle","No","male",29,0,0,26,"S"
"Middle","No","male",34,0,0,26,"S"
"Middle","No","male",60,0,0,26,"S"
"Middle","No","male",36,0,0,26,"S"
"Middle","Yes","female",31,0,0,26,"S"
"Middle","Yes","female",17,0,2,140,"S"
"Middle","No","male",82,1,1,140,"S"
"Middle","Yes","female",57,1,1,140,"S"
"Middle","Yes","female",24,1,0,98,"S"
"Middle","No","male",33,1,0,98,"S"
"Middle","Yes","female",50,0,0,26,"S"
"Middle","No","male",33,0,0,26,"S"
"Middle","No","male",60,0,0,26,"S"
"Middle","Yes","female",60,0,0,26,"S"
"Middle","Yes","male",7,0,2,114,"S"
"Middle","Yes","male",34,1,1,114,"S"
"Middle","Yes","female",27,1,1,114,"S"
"Middle","Yes","female",49,0,0,76,"S"
"Middle","No","male",22,0,0,26,"S"
"Middle","No","female",62,1,0,98,"S"
"Middle","No","male",74,1,0,98,"S"
"Middle","No","male",72,0,0,28,"S"
"Middle","No","male",52,1,0,98,"S"
"Middle","No","female",39,1,0,98,"S"
"Middle","Yes","female",33,1,1,118,"S"
"Middle","Yes","female",63,0,2,118,"S"
"Middle","No","male",39,1,0,98,"S"
"Middle","Yes","female",37,1,0,98,"S"
"Middle","No","male",39,0,0,5,"S"
"Middle","No","male",37,0,0,26,"S"
"Middle","Yes","male",31,0,0,5,"S"
"Middle","Yes","female",97,0,2,99,"S"
"Middle","No","male",43,1,1,99,"S"
"Middle","Yes","female",43,1,1,99,"S"
"Middle","Yes","female",27,0,0,5,"S"
"Middle","No","female",41,0,0,26,"S"
"Middle","No","male",26,0,0,12,"S"
"Middle","Yes","male",97,1,1,137,"S"
"Middle","No","male",20,0,0,230,"S"
"Middle","Yes","female",67,0,2,137,"S"
"Middle","Yes","female",37,0,0,26,"S"
"Middle","No","male",44,0,0,26,"S"
"Middle","No","male",19,0,0,230,"S"
"Middle","No","male",39,1,0,108,"C"
"Middle","Yes","female",31,1,0,108,"C"
"Middle","No","male",33,0,0,125,"S"
"Middle","No","male",20,0,0,230,"S"
"Middle","Yes","female",20,0,1,86,"S"
"Middle","Yes","female",47,0,1,86,"S"
"Middle","No","male",74,0,0,98,"S"
"Middle","Yes","male",97,0,2,129,"S"
"Middle","No","male",60,1,1,129,"S"
"Middle","Yes","female",47,1,1,129,"S"
"Middle","Yes","female",36,1,0,31,"C"
"Middle","Yes","female",41,1,0,31,"C"
"Middle","No","male",29,0,0,26,"S"
"Middle","No","male",26,0,0,26,"S"
"Middle","No","male",20,0,0,26,"S"
"Middle","No","male",57,1,0,98,"S"
"Middle","Yes","female",39,1,0,98,"S"
"Middle","No","male",20,0,0,5,"S"
"Middle","No","male",50,0,0,26,"S"
"Middle","No","female",53,0,0,26,"S"
"Middle","No","male",49,0,0,98,"S"
"Middle","No","male",53,1,0,76,"S"
"Middle","No","male",47,1,0,76,"S"
"Middle","Yes","female",47,0,0,26,"S"
"Middle","No","male",18,0,0,98,"S"
"Middle","No","male",34,0,0,5,"S"
"Middle","No","male",66,0,0,5,"S"
"Middle","No","male",26,1,0,12,"S"
"Middle","No","male",26,1,0,12,"S"
"Middle","No","male",31,0,0,28,"S"
"Middle","No","male",31,0,0,26,"S"
"Middle","No","male",47,0,0,26,"S"
"Middle","No","male",41,0,0,26,"S"
"Middle","No","male",72,0,0,26,"S"
"Middle","No","male",41,0,0,26,"S"
"Middle","Yes","male",5,1,1,43,"S"
"Middle","Yes","female",31,0,2,43,"S"
"Middle","No","male",62,0,0,26,"S"
"Middle","Yes","female",81,0,1,130,"S"
"Middle","No","male",37,0,1,130,"S"
"Middle","Yes","male",85,0,0,5,"S"
"Middle","No","male",41,0,0,5,"S"
"Middle","Yes","female",91,0,2,99,"S"
"Middle","No","male",61,1,1,99,"S"
"Middle","Yes","female",63,1,1,99,"S"
"Middle","Yes","female",31,1,2,185,"S"
"Middle","Yes","female",31,1,2,185,"S"
"Middle","No","male",68,1,2,185,"S"
"Middle","Yes","female",67,1,2,185,"S"
"Middle","Yes","female",75,0,0,60,"S"
"Middle","No","male",31,2,0,230,"S"
"Middle","No","male",44,2,0,230,"S"
"Middle","No","male",26,2,0,230,"S"
"Middle","No","female",20,1,1,26,"S"
"Middle","Yes","female",24,2,1,86,"S"
"Middle","No","male",29,2,1,12,"S"
"Middle","No","male",50,0,0,26,"S"
"Middle","Yes","female",74,1,3,86,"S"
"Middle","No","male",70,0,0,26,"S"
"Middle","No","male",62,1,0,98,"S"
"Middle","Yes","female",39,1,0,98,"S"
"Middle","No","male",26,0,0,230,"S"
"Middle","Yes","male",60,0,0,26,"S"
"Middle","No","male",86,1,0,98,"S"
"Middle","No","female",82,1,0,98,"S"
"Middle","No","male",46,0,0,17,"S"
"Middle","Yes","female",19,0,0,5,"S"
"Middle","No","male",60,1,0,106,"S"
"Middle","Yes","female",31,2,1,106,"S"
"Middle","No","male",66,0,0,45,"S"
"Middle","No","male",31,2,0,125,"S"
"Middle","No","male",27,2,0,125,"S"
"Middle","No","male",44,0,0,5,"S"
"Middle","Yes","female",29,0,0,30,"C"
"Middle","No","male",47,1,0,98,"S"
"Middle","Yes","female",31,1,0,98,"S"
"Middle","No","female",27,0,0,76,"S"
"Middle","No","male",49,0,0,19,"Q"
"Middle","Yes","female",63,0,0,28,"S"
"Middle","No","male",78,0,0,19,"Q"
"Middle","No","male",43,0,0,5,"S"
"Middle","No","female",34,1,1,98,"S"
"Middle","No","male",41,1,1,98,"S"
"Middle","Yes","female",9,1,2,146,"C"
"Middle","Yes","female",40,1,2,146,"C"
"Middle","No","male",33,1,2,146,"C"
"Middle","Yes","female",27,1,2,146,"C"
"Middle","Yes","female",19,0,0,15,"C"
"Middle","Yes","female",47,0,0,5,"S"
"Middle","No","male",50,0,0,24,"C"
"Middle","No","male",31,0,0,5,"S"
"Middle","No","male",84,0,0,19,"Q"
"Middle","No","male",70,1,0,98,"S"
"Middle","Yes","female",60,1,0,98,"S"
"Middle","No","female",78,0,0,5,"S"
"Middle","Yes","male",9,0,2,138,"C"
"Middle","No","male",43,1,1,138,"C"
"Middle","Yes","female",31,1,1,138,"C"
"Middle","No","male",41,0,0,26,"S"
"Middle","No","male",57,0,0,60,"S"
"Middle","No","male",44,0,0,28,"S"
"Middle","No","male",41,0,0,26,"S"
"Middle","No","male",65,0,0,98,"S"
"Middle","Yes","female",14,0,1,70,"S"
"Middle","Yes","female",59,0,1,70,"S"
"Middle","Yes","male",22,0,0,5,"S"
"Middle","No","male",55,0,0,26,"S"
"Middle","No","male",67,0,0,26,"S"
"Middle","No","male",92,0,0,5,"S"
"Middle","No","male",36,0,0,26,"S"
"Middle","No","male",74,0,0,38,"S"
"Middle","No","male",55,0,0,98,"S"
"Middle","No","male",18,0,0,5,"S"
"Middle","No","male",85,0,0,275,"Q"
"Middle","No","male",45,1,0,119,"C"
"Middle","Yes","female",15,1,0,119,"C"
"Middle","Yes","male",23,1,1,98,"S"
"Middle","Yes","male",40,1,1,98,"S"
"Middle","No","male",51,0,2,98,"S"
"Middle","No","male",34,0,0,26,"S"
"Middle","No","male",22,1,1,137,"S"
"Middle","No","male",37,0,0,28,"S"
"Middle","Yes","male",24,0,0,32,"C"
"Middle","Yes","female",39,0,0,5,"S"
"Middle","No","male",55,0,0,26,"S"
"Middle","Yes","male",27,0,0,5,"S"
"Middle","No","male",29,0,0,5,"S"
"Middle","Yes","male",39,0,0,31,"C"
"Middle","No","male",37,0,0,5,"S"
"Middle","Yes","female",70,0,1,98,"S"
"Middle","No","male",22,0,0,5,"S"
"Middle","No","male",59,0,0,26,"S"
"Middle","Yes","female",26,0,1,76,"S"
"Middle","Yes","female",22,0,0,98,"S"
"Middle","No","male",61,0,1,76,"S"
"Middle","Yes","female",44,0,0,26,"S"
"Middle","No","male",47,0,0,26,"S"
"Middle","Yes","male",41,0,0,23,"C"
"Middle","No","male",36,0,0,46,"C"
"Middle","Yes","female",23,1,1,98,"S"
"Middle","Yes","female",97,1,1,98,"S"
"Middle","Yes","female",46,0,2,98,"S"
"Middle","No","male",50,0,0,5,"S"
"Middle","No","male",47,1,0,76,"S"
"Middle","Yes","female",41,3,0,76,"S"
"Middle","Yes","female",37,0,0,26,"S"
"Middle","No","male",29,0,0,47,"C"
"Middle","Yes","male",7,1,1,67,"S"
"Middle","Yes","male",40,1,1,67,"S"
"Middle","Yes","female",31,2,3,67,"S"
"Middle","Yes","female",70,0,0,5,"S"
"Middle","No","male",22,0,0,5,"S"
"Middle","Yes","female",26,0,0,5,"S"
"Middle","No","male",34,0,0,26,"S"
"Middle","No","male",33,0,0,26,"S"
"Middle","No","male",36,0,0,98,"S"
"Middle","Yes","female",33,0,1,98,"S"
"Middle","Yes","female",20,0,2,26,"S"
"Middle","Yes","female",24,0,0,137,"S"
"Middle","Yes","female",41,0,0,26,"S"
"Middle","No","male",80,0,0,28,"S"
"Middle","Yes","female",41,0,0,19,"Q"
"Middle","No","male",49,0,0,5,"S"
"Middle","Yes","female",57,0,0,26,"S"
"Middle","No","male",33,0,0,26,"S"
"Middle","No","male",59,0,0,47,"C"
"Middle","No","male",33,0,0,5,"S"
"Middle","No","male",21,0,0,26,"S"
"Middle","No","male",15,0,0,185,"S"
"Middle","Yes","female",70,0,0,5,"S"
"Middle","No","male",29,0,0,26,"S"
"Middle","Yes","female",37,0,0,22,"S"
"Middle","Yes","female",36,0,0,5,"S"
"Middle","No","male",39,1,0,76,"S"
"Middle","No","female",36,1,0,76,"S"
"Middle","No","male",57,0,0,26,"S"
"Middle","Yes","female",43,0,0,76,"S"
"Middle","No","male",41,1,0,76,"S"
"Middle","No","male",29,1,0,5,"S"
"Middle","Yes","female",43,0,0,76,"S"
"Middle","Yes","female",13,0,0,55,"S"
"Middle","Yes","female",57,0,0,55,"S"
"Middle","Yes","female",45,0,0,26,"S"
"Middle","No","male",36,1,0,98,"S"
"Middle","Yes","female",39,1,0,98,"S"
"Middle","Yes","male",23,1,1,86,"S"
"Middle","Yes","female",56,1,1,86,"S"
"Middle","Yes","female",39,0,2,86,"S"
"Middle","Yes","female",8,1,2,109,"S"
"Middle","Yes","female",69,1,2,109,"S"
"Middle","No","male",50,1,2,109,"S"
"Middle","Yes","female",46,1,2,109,"S"
"Middle","No","male",89,0,0,5,"S"
"Middle","Yes","male",43,0,0,26,"S"
"Middle","Yes","female",34,0,0,28,"S"
"Middle","No","female",31,0,0,26,"S"
"Lower","No","male",60,0,0,202,"S"
"Lower","No","male",14,0,2,73,"S"
"Lower","No","male",18,1,1,73,"S"
"Lower","Yes","female",49,1,1,73,"S"
"Lower","Yes","female",18,0,0,206,"S"
"Lower","Yes","male",33,0,0,206,"S"
"Lower","Yes","male",24,0,0,227,"S"
"Lower","Yes","female",20,0,0,196,"C"
"Lower","No","male",41,0,0,197,"S"
"Lower","No","male",34,0,0,242,"S"
"Lower","No","female",57,1,0,271,"S"
"Lower","Yes","male",7,0,1,270,"S"
"Lower","Yes","female",20,0,1,270,"S"
"Lower","Yes","male",34,0,0,68,"C"
"Lower","No","male",34,0,0,225,"S"
"Lower","No","male",24,0,0,227,"S"
"Lower","No","male",31,0,0,191,"S"
"Lower","No","male",33,0,0,191,"S"
"Lower","No","male",49,0,0,242,"S"
"Lower","No","male",20,0,0,246,"S"
"Lower","No","male",44,0,0,83,"S"
"Lower","Yes","female",22,1,0,222,"S"
"Lower","No","male",56,4,2,123,"S"
"Lower","No","female",81,4,2,123,"S"
"Lower","No","female",23,4,2,123,"S"
"Lower","Yes","female",19,4,2,227,"S"
"Lower","No","female",53,4,2,214,"S"
"Lower","No","female",99,4,2,123,"S"
"Lower","No","female",11,4,2,123,"S"
"Lower","No","male",55,1,5,123,"S"
"Lower","Yes","male",36,0,0,217,"S"
"Lower","No","male",34,0,0,214,"S"
"Lower","No","female",55,1,5,123,"S"
"Lower","No","male",24,0,0,222,"S"
"Lower","No","male",34,0,0,226,"S"
"Lower","No","male",33,1,0,65,"S"
"Lower","No","female",20,1,0,65,"S"
"Lower","No","male",31,0,0,214,"S"
"Lower","No","male",49,0,0,191,"S"
"Lower","No","male",69,4,2,124,"S"
"Lower","No","male",99,4,2,124,"S"
"Lower","Yes","male",40,4,2,124,"S"
"Lower","No","male",14,4,2,124,"S"
"Lower","Yes","female",69,4,2,124,"S"
"Lower","No","male",57,1,5,124,"S"
"Lower","Yes","male",29,0,0,217,"S"
"Lower","Yes","female",53,1,5,124,"S"
"Lower","Yes","female",63,0,0,195,"C"
"Lower","No","male",26,0,0,195,"C"
"Lower","No","male",29,0,0,191,"S"
"Lower","No","female",19,0,0,42,"C"
"Lower","No","male",41,0,0,195,"C"
"Lower","No","male",29,0,0,222,"S"
"Lower","Yes","female",14,0,0,196,"C"
"Lower","No","male",24,0,0,195,"C"
"Lower","No","male",44,1,0,56,"S"
"Lower","Yes","female",46,3,0,56,"S"
"Lower","Yes","female",6,2,1,69,"C"
"Lower","Yes","female",6,2,1,69,"C"
"Lower","Yes","female",69,2,1,69,"C"
"Lower","Yes","female",31,0,3,69,"C"
"Lower","Yes","female",20,0,0,242,"S"
"Lower","No","male",57,0,0,195,"C"
"Lower","No","male",34,0,0,226,"S"
"Lower","Yes","male",24,0,0,196,"C"
"Lower","No","female",20,0,1,41,"C"
"Lower","No","female",63,0,1,41,"C"
"Lower","No","female",36,0,0,224,"Q"
"Lower","No","male",27,0,0,242,"S"
"Lower","No","male",22,0,0,242,"S"
"Lower","No","male",34,0,0,214,"S"
"Lower","No","male",27,0,0,270,"S"
"Lower","No","male",24,0,0,144,"C"
"Lower","Yes","male",44,0,0,166,"S"
"Lower","No","male",26,0,0,214,"S"
"Lower","No","male",20,0,0,213,"S"
"Lower","No","male",34,0,0,226,"S"
"Lower","No","male",81,1,1,50,"C"
"Lower","No","female",99,1,1,50,"C"
"Lower","No","male",57,1,1,51,"Q"
"Lower","No","female",44,1,1,51,"Q"
"Lower","No","male",26,0,0,61,"S"
"Lower","Yes","female",27,0,0,208,"Q"
"Lower","No","female",24,0,0,222,"S"
"Lower","No","male",39,1,0,190,"S"
"Lower","No","male",27,1,0,197,"S"
"Lower","No","male",27,0,0,217,"S"
